rank,clan_name,member_num,leader_name,damage,lap,boss_id,remain,grade_rank
145,游戏宅,30,雪哥最棒了,1357089621,14,2,6055189,124
146,美食殿堂,30,玩世不恭,1339275443,13,5,641519,150
147,82年的拉菲,30,圆圆的圈圈 （群),1336045318,13,5,1718227,188
148,四月你的谎言,28,杰瑞克斯（招人）,1333597953,13,5,2534015,160
149,炮房出击,30,炮房大大,1331041382,13,5,3386206,140
150,洛洛洛我爱薯片哈,30,四缕,1326225853,13,5,4991382,121
151,真步护卫会,30,曼珠沙华,1317487417,13,5,7904194,108
152,兰德索尔之翼,30,江湖路远,1292444051,13,5,16251983,143
153,python培训班,30,维吉尔X,1288789975,13,5,17470008,173
154,咲恋救济院,30,舰舰的奇幻冒险,1279391904,13,4,723238,154
155,洗浴三会,30,Sakura路明非,1279385397,13,4,725841,147
156,京都养老院,30,漪宝,1256755176,13,4,9777929,161
157,猫猫头,30,把你变成布丁吃掉,1243633216,13,3,3026713,159
158,学园都市,30,王尼矛,1243572962,13,3,3050815,204
159,邦邦[sup]甜花组,30,快乐断手器,1241438967,13,3,3904413,168
160,虚印证章,30,黑本琦夜,1233420855,13,3,7111658,228
161,咸鱼雪的私人养老会,30,逝影-雪,1227122833,13,3,9630866,166
162,心跳文学部,30,天野,1222441750,13,2,1879125,155
163,某科学的行会,29,一方通行,1216348047,13,2,4925976,144
164,梦之阁,28,进击的舔棺（收3人）,1212532139,13,2,6833930,156
165,学生会,30,花沫沫(工会招人),1208954995,13,1,622502,151
166,星沉大海,30,好看吗（9万换的）,1202533008,13,1,3833496,172
167,纳萨力克大坟墓,30,犯怵,1198079893,12,5,40035,169
168,猫又小粥饭团屋,30,佑树桐人,1187807534,12,5,3464155,170
169,圣盟（招人）,30,浪花,1185490339,12,5,4236553,162
170,神之领域,30,骑士君乄,1175436592,12,5,7587802,202
171,来点正常出刀活人加群,29,Hunter（在裙i,1152366233,12,5,15277922,176
172,编号9527,30,缘之空,1152214820,12,5,15328393,164
173,地狱之歌,29,莉莉安娜,1145953352,12,5,17415549,165
174,铁华团招人,30,剁椒鱼头i,1125527072,12,4,5069171,216
175,备战水瓶60万以上来,30,阿波罗,1105075357,12,3,1249857,180
176,猎牛人家族,30,宇九黎,1099260666,12,3,3575733,194
177,打nm会战,30,栞使用了附魔箭矢,1096563538,12,3,4654584,171
178,格雷姆林魔法结社,30,sky,1085252099,12,3,9179160,182
179,香雪兰@传说,30,请叫我小基，别误伤,1083622849,12,3,9830860,174
180,天井,28,老子才是真佑树,1076799716,12,2,3200142,200
181,想唱的叙事诗,28,坂井优衣,1075694352,12,2,3752824,221
182,小枫树,30,爱新觉罗丶TING,1075536906,12,2,3831547,256
183,天启前150会长女装,30,雪,1071792216,12,2,5703892,192
184,海之夸,30,湊阿夸,1070226949,12,2,6486525,196
185,泪雨梨花后援团（招人,30,我不是鼬鼠,1065056269,12,1,1071865,198
186,夏天的味道（招人）,30,夜雨,1056972268,12,1,5113866,186
187,咸鱼佣兵团,30,龙宫院圣哉,1050922526,11,5,1425824,178
188,星战(招人),30,真步真步国王,1047917722,11,5,2427426,199
189,约会大作战,30,幻梦,1044125656,11,5,3691448,232
190,凯露农场,30,迷雾精灵,1029450372,11,5,8583209,189
191,圣骑士四团（Vvn）,30,卜啵啵,1027057092,11,5,9380969,177
192,连结专业团队DLM,29,梦境,1026699681,11,5,9500106,290
193,咸鱼行会,30,忘却来时路,1024881384,11,5,10106205,208
194,星愿时空（招新）,30,非酋剑无双,1019493807,11,5,11902064,211
195,收会战玩家,30,会战收人,1018295613,11,5,12301462,183
196,佩可莉姆应援团,30,艾丝华伦斯坦,1017825065,11,5,12458311,195
197,angel,30,波动你心,1013560182,11,5,13879939,219
198,修仙姬,27,...,1008161013,11,5,15679662,184
199,白金,30,三玖,1003696137,11,5,17167954,210
200,超大的芝士力量,30,病入高黄,996765863,11,5,19478045,231
201,银狼,30,昔曰A,996178025,11,5,19673991,223
202,神魂灵域,30,佑树,994768468,11,4,172612,215
203,123123,30,十六夜云天泪,990773025,11,4,1770790,718
204,风宇阁,30,亚丝娜大人的老公,986147454,11,4,3621018,352
205,迷迭迷迭paryi桑,30,FLxs风铃星誓（简,982659133,11,4,5016346,300
206,颜桃,28,星,981077139,11,4,5649144,214
207,Naruto,30,Hinata,980317792,11,4,5952883,197
208,清梦星河,27,风云,973690538,11,4,8603784,179
209,咕噜咕噜灵啵～,30,猇虓（简介）,960272166,11,3,1971133,191
210,久辞,29,菌菌,959190355,11,3,2403858,212
211,摇曳的理想乡,25,水中肥鸭,955956429,11,3,3697428,163
212,欧皇（会战刀刀烈火）,30,isabella,935375946,11,2,2412027,301
213,枫灵之家,29,龙千霖,933413539,11,2,3393230,185
214,老八的秘制小汉堡儿,30,小饭饭,928355458,11,2,5922271,245
215,兰德索尔图书馆,30,好好先生,925988356,11,2,7105822,233
216,星辰阁,30,小雨,924200118,11,2,7999941,264
217,名人堂,27,古守家今天的饭,918832772,11,1,2683614,203
218,拉菲神教,28,Lafite.82,918277434,11,1,2961283,213
219,远东魔术午睡结社之兔,24,[c7]花開彼岸天,917217678,11,1,3491161,193
220,历代传说被猪拱,30,我是猪,913170507,11,1,5514746,240
221,梦想乡,30,白银,904344769,10,5,3927615,227
222,妄想症（养老招人）,30,鹿畔,901035739,10,5,5582130,272
223,厉害了呢,28,秋,897371576,10,5,7414212,252
224,小鱼塘QAQ,25,仿佛被QJ,897040970,10,5,7579515,224
225,QAQ茶话会,27,咸鱼肝i,894107514,10,5,9046243,249
226,矛衣未的开挂巨剑,30,泪怜生,892001502,10,5,10099249,236
227,异域骑士团,29,迪亚布罗,891287673,10,5,10456163,298
228,云上挽歌,30,niji,886822341,10,5,12688829,243
229,大枫树,30,咸鱼想要翻身,881553510,10,5,15323245,287
230,贪欢,26,杜肚狼先生,880200732,10,5,15999634,181
231,湛蓝苍穹,27,中立的光明,877635989,10,5,17282005,226
232,新春乾坤天晴剑,30,ue对不起,873973138,10,5,19113431,265
233,肝帝光辉游乐园,30,曹贼本人,873900300,10,5,19149850,387
234,春田不要升星,30,涩体源流,873329092,10,5,19435454,209
235,天园,30,小小公子,867078995,10,4,2845002,247
236,龙樱御林翼,29,宇佐见 捷,866667100,10,4,3073833,242
237,七冠,30,柊镜X,865989555,10,4,3450247,234
238,嘤灵殿,27,六花的勇太,865237866,10,4,3867852,244
239,忘生流鸣,30,飘凌祈,865043841,10,4,3975643,311
240,Euphoria,29,四季夏目,861081565,10,4,6176908,218
241,小号互助会,29,siro,861081385,10,4,6177008,238
242,萌之领域,25,mio酱,858339315,10,4,7700380,222
243,非酋玩家行会,30,小咸鱼,846685768,10,3,2174573,237
244,米奇妙妙屋,30,一朵小花,840494698,10,3,5614056,260
245,东方幻想乡,30,热爱党永远跟党走,836682028,10,3,7732206,235
246,养乐多,22,乐多,834685817,10,3,8841212,217
247,养老组,30,灯,832773532,10,3,9903593,220
248,不会有人主动进来吧,30,猫猫虫,831846342,10,2,538327,283
249,中二所的奇妙冒险,30,泽熙（p友军,824388533,10,2,5865333,201
250,公主焊接,30,爵季,817700076,10,1,2642802,284
251,非酋同好会,30,樱花祭,817161397,10,1,3027573,207
252,非酋,30,无i,816075689,10,1,3803079,297
253,百合花开香四溢,28,嬉野纱弓实,813151291,10,1,5891935,225
254,夏静凉风,30,MC的继承人^,812950686,9,5,24657,241
255,养老基地,30,诺基拉,807839666,9,5,2580167,230
256,梵高花语,30,哥哥.,807001101,9,5,2999449,255
257,EVA,30,小狼,804201633,9,5,4399183,263
258,白嫖养老院,30,Hyea,800938656,9,5,6030672,796
259,小仓鼠灬聚集地,30,森森（简介收人）,800599605,9,5,6200197,251
260,花开伊吕波,23,咸鱼,799019995,9,5,6990002,262
261,QAQ巴别塔攻略组,29,绝对零度,793277346,9,5,9861327,274
262,宅宅乐园,30,接头霸王,793119443,9,5,9940278,248
263,暮光之星,29,优,786591048,9,5,13204476,268
264,纸片人老婆,30,筱,774491199,9,5,19254400,257
265,碧萝会,30,欧洲猫好牛逼,774140384,9,5,19429808,296
266,大大牢饭,30,虎牙搜飞鸟-黑黑,768139607,9,4,2700218,206
267,软饭硬吃交流会,29,锦时安年（登顶下防）,766001314,9,4,3888158,269
268,星之宿,23,鸭脖,765054827,9,4,4413985,254
269,轨迹集中营,30,白毛黎,764587451,9,4,4673638,273
270,血盟骑士团,30,亚丝娜,760663311,9,4,6853716,288
271,安兹乌尔恭,30,达拉崩吧,758817433,9,4,7879203,270
272,放簜者的茶会,29,伊莉亚你是我祖宗,758722680,9,4,7931844,408
273,刀刀甜心刀的公会,30,星梦莫语,756543919,9,4,9142267,259
274,绯色月下,28,徐云归,756136338,9,4,9368701,280
275,咕噜灵波王国,24,云深（py看简介）,752878256,9,4,11178746,253
276,夏夜星空海丶,30,大欧泡丶,744740195,9,3,3699891,308
277,梦幻,30,都给老子滚,737556741,9,3,7690699,266
278,阿里戈多,30,莱特,734818363,9,3,9212020,277
279,塔罗会,30,愚者,733008499,9,2,279643,275
280,耗子的后宫,27,耗子,732820034,9,2,414261,309
281,赤色曙光,30,哈利,729188290,9,2,3008364,281
282,霓虹物语 （招人）,30,炫夜滋,726286229,9,2,5081265,324
283,连结时刻,28,暮寒凌,725740451,9,2,5471106,271
284,剑与玫瑰,30,佑树,725672739,9,2,5519472,267
285,百鬼夜行,30,绯人痧道,724402392,9,2,6426862,314
286,迦勒底亚斯,30,EMT,717409419,9,1,3421843,302
287,菜菜通通吃掉,30,我妻凉花,714927678,9,1,5194515,325
288,Night Raid,24,榮,714898449,9,1,5215393,278
289,仙凌,26,浪里浪花郎朗画,704011418,8,5,4894291,350
290,刀剑神域,30,赛呦那啦,700670702,8,5,6564649,276
291,未闻花名,30,念舞板歌尘,691971414,8,5,10914293,250
292,林深时见鹿,29,小仓唯,690503957,8,5,11648021,286
293,蓝蔷薇,30,渔鸢(公会收活人),689030617,8,5,12384691,378
294,天降之雾,30,SoulMate29,688233372,8,5,12783314,315
295,泰迪熊家茶话会,27,刹那,686326141,8,5,13736929,285
296,铲车人,28,songe公会招人,683673806,8,5,15063097,364
297,lovehome,30,kawai,678822248,8,5,17488876,258
298,爱吃花椒的喵酱,28,古战场逃兵,677098416,8,5,18350792,313
299,幻想乡,30,白灵,669415351,8,4,2435916,289
300,蜗牛居居,29,晚安,668981130,8,4,2677150,246
301,一个小家,30,星净树,667048872,8,4,3750626,418
302,千灯观,26,凉月,664851261,8,4,4971521,444
303,七七黑涂涂,30,阿空使用闪电五连鞭,664718043,8,4,5045531,338
304,阿特拉斯院,30,Cyber,664596113,8,4,5113270,304
305,放学后茶会,30,佑树i,664186560,8,4,5340800,353
306,结萌社,21,8岁萝莉快到我家,662929908,8,4,6038940,205
307,德丽莎口的真是太棒了,29,会长一边爬一边,658071741,8,4,8737921,388
308,美食殿堂,30,鬼畜王兰斯,653324072,8,4,11375515,295
309,新月行会,30,初雪QAQ,646817337,8,3,2990368,354
310,格里芬,28,加奈氏,634191621,8,2,5984,318
311,真步的童话庭院,30,抽抽抽抽抽抽抽抽抽抽,629808024,8,2,3137125,358
312,七曜教会,30,星神曜,623877698,8,2,7373072,299
313,凜冬散盡,23,Owenzzx,622476825,8,1,373696,303
314,寻梦,30,syn,622356983,8,1,459297,332
315,伊甸园之冬,30,佑树,618594349,8,1,3146893,305
316,安德里安,30,铭扬,615364066,8,1,5454238,293
317,星宿海,29,湮湮,611608391,7,5,1495804,368
318,得劲,30,丶白井黑子丶,611143891,7,5,1728054,355
319,大不列颠,30,大不列颠皇帝,609283738,7,5,2658131,321
320,青梅,30,执剑喵,607940069,7,5,3329965,312
321,一池咸鱼,23,喵帕斯,606169571,7,5,4215214,340
322,咸鱼之家,30,佑树（双毕业）,601043505,7,5,6778247,349
323,缘梦阁,30,吉良吉影_i,596679554,7,5,8960223,326
324,上班一族,26,东曦,591322682,7,5,11638659,291
325,专业团队,30,哥帅爆了,587246412,7,5,13676794,379
326,放养行会,30,后宫众多的现充骑士,585829749,7,5,14385125,375
327,风刃,28,风云,583520479,7,5,15539760,361
328,星辰十字军,30,沐屠户,582499506,7,5,16050247,316
329,迷途猫行会,30,超级鸽王,581050783,7,5,16774608,327
330,墨丘利财团会计部,30,法春,577707340,7,5,18446330,339
331,肥鸽子,30,纠结的我,575252588,7,5,19673706,344
332,从零开始的PCR生活,30,哈撒给,574811875,7,5,19894062,359
333,星軌,22,距離產生距離,570286171,7,4,2396571,351
334,喵酱的快乐乐园,24,彼岸花开丨心连心,554365379,7,4,11241456,323
335,洛樱梵殇,30,食堂泼辣酱,554344793,7,4,11252892,333
336,水色的旋律,30,希望的钟声,552534700,7,3,258500,373
337,花不凋零，我们不散,28,梦落繁花,551565277,7,3,797068,383
338,果咩内，优依,27,缘丶见#群简介,551490305,7,3,838719,386
339,yun,30,腻害的hdydy菌,551457903,7,3,856720,396
340,樱花庄(雪月),30,saber,550953699,7,3,1136833,319
341,身子他不香吗,26,马猴烧酒,547930388,7,3,2816451,398
342,天涯明月,30,明月-寒竹,546217113,7,3,3768270,399
343,夏雪冬花,21,Camus,542019586,7,3,6100230,343
344,黑色骑士团,30,grievous,541991908,7,3,6115606,393
345,莂說我們拽,30,灬尐寳唄灬,537372087,7,3,8682173,330
346,落羽,27,咫尺丶落枫,535428104,7,3,9762164,382
347,英灵殿,30,小玮,534521369,7,2,341879,356
348,学园都市风纪委员会,30,泪爷的衣柜,534410219,7,2,421272,366
349,莲华逅缘会,30,觋夕莉,534064376,7,2,668302,409
350,十柒之家,30,十柒,530891106,7,2,2934924,357
351,咸鱼养老院,30,鼬,529075839,7,2,4231543,405
352,香雪二会,30,叶子君,527466858,7,2,5380815,320
353,娱乐部OxO,30,包心菜,525962412,7,2,6455420,376
354,究极补刀增援会,30,阿布德尔,521853345,7,1,1390467,337
355,养妈小分队,30,酋长,515596207,7,1,5859852,390
356,执梦一笔,30,XCW牢饭香,515122954,6,5,138523,370
357,美美最可爱,30,耀夜辰,512365588,6,5,1517206,407
358,为美好的世界送上祝福,24,佑树,509961807,6,5,2719096,406
359,德莉莎世界第一可爱,30,林鑫（继续挖）,509655339,6,5,2872330,456
360,繁星,30,不笑猫,506524471,6,5,4437764,404
361,风行协会,26,X幻影阳阴X,504332184,6,5,5533908,367
362,Escalibor,25,柒呐,504085673,6,5,5657163,306
363,Re:休闲殿堂,30,[s]佑树,502725060,6,5,6337470,335
364,非洲部落,30,黑猫井长（在群）,500265198,6,5,7567401,410
365,大枫树,30,帆高,499874874,6,5,7762563,463
366,为美好世界献祭公主,30,良拌,497123024,6,5,9138488,427
367,轻音部,26,阿梓喵（行会招人）,495615551,6,5,9892224,292
368,山河醉,28,KaRin也老是吃井,495535812,6,5,9932094,417
369,社恐养老公会,30,过气转转大魔王,495443823,6,5,9978088,437
370,咸鱼,30,GX9900,491902938,6,5,11748531,381
371,优衣保护协会,30,咖啡丿酒,490046301,6,5,12676849,411
372,夕阳红老年公寓,30,真红疾风,490021344,6,5,12689328,328
373,塔兹米,30,折子戏,489218399,6,5,13090800,469
374,花殿,26,水月仙,487894976,6,5,13752512,345
375,街头霸王,30,梦,485955979,6,5,14722010,371
376,魔禁,28,听我怒吼,484816989,6,5,15291505,394
377,大白兔农场,30,如鱼得水PY,484446677,6,5,15476661,365
378,白羽,24,树,483969111,6,5,15715444,428
379,战舰少女,30,见崎未咲,483132212,6,5,16133894,402
380,刀剑神域,30,佑树（冯永恒）,480508001,6,5,17445999,342
381,发呆,30,传说的蕾,478613628,6,5,18393186,435
382,武装森林,26,氪多星吴用,474201381,6,4,665899,347
383,天上人间,30,浅云离生,472100587,6,4,1833007,445
384,同舟共济,27,修宇,471529633,6,4,2150203,360
385,迷梦幻境,30,彼岸花,471364552,6,4,2241915,362
386,星辰之怒,30,佑树子,469514544,6,4,3269697,363
387,安兹乌尔恭,30,花海中的少女找不着北,468645521,6,4,3752488,372
388,谪仙居,30,im犯,468412734,6,4,3881814,392
389,圣堂圆桌会,30,心雯（公会收人）,465800783,6,4,5332898,346
390,醉仙阁,30,戯灬灵,465517143,6,4,5490476,431
391,地狱天使,30,没事没事,465033360,6,4,5759244,389
392,洛浣楼（闲鱼?）,30,沈默,463664358,6,4,6519801,374
393,听雪楼,20,佑树航,463478884,6,4,6622842,282
394,白昼之梦,22,一只__,462466518,6,4,7185267,348
395,萌新骑士团,30,不理不理左卫门,461400353,6,4,7777581,341
396,茶楼,30,醉罢斩天落长虹,454095440,6,4,11835866,450
397,空空如也,19,空白,454044115,6,4,11864380,307
398,静流,30,男主,453800070,6,4,11999961,422
399,花间舞,29,万人斩丶肝帝,452988513,6,3,450826,479
400,天堂,30,阴天alldie,451058920,6,3,1522822,403
401,櫻花,30,怀99,450600063,6,3,1777742,421
402,大枫树,30,炎岩,448359685,6,3,3022397,397
403,休伯利安,25,莱月 昂,447040315,6,3,3755380,486
404,客官请留步,22,Lovelive,445171177,6,3,4793790,522
405,吟音,30,叶子,441232385,6,3,6982008,423
406,汐酱保护协会,30,洪荒天子,440543731,6,3,7364593,517
407,散人居,30,只顾众生,438617878,6,3,8434512,432
408,硫酸洗啥,28,02,438479166,6,3,8511574,425
409,接头霸王,30,江借时,438398275,6,3,8556513,416
410,欧盟,30,一脸茫然,436063334,6,3,9853703,426
411,文敏的养老小公会,30,文敏,435282159,6,2,369886,485
412,彭格列,30,彭格列招人,434985933,6,2,581476,380
413,公会招人，有意进,24,冰川镜华,434741366,6,2,756167,430
414,星辰十字军,30,迪奥丶布兰度,434147588,6,2,1180294,457
415,[30]月之初,30,佑樹,433061789,6,2,1955865,384
416,柚子社,30,有地将臣,433013698,6,2,1990215,424
417,蘭德索爾白兔騎士團,30,腹黑小白兔,432637575,6,2,2258875,419
418,黑枫月华,30,卡塞尔修斯(勿刺）,431087427,6,2,3366123,484
